"rand_index","index","translation","reference_translation","accuracy"
15,392,"Die grösste Schwierigkeit bei der Durchführung dieser Analyse","Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.",""
16,432,"Einer, der von der EK hervorgehobenen Punkte, ist die Bedeutung, aus Erfahrungen zu lernen und bewährte Praktiken aus verschiedenen Mitgliedsstaaten (MS).","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
17,122,"Der Einfluss der sozialen Informationen über das Verhalten wurde in einer Reihe von Settings gezeigt.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
18,76,"Auch wenn das Interesse an der Forschung zu Sozialem Vergleich ansteigt, bleiben noch einige Fragen offen.","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
19,215,"Trotz eines wachsendem Interesse and sozialer Vergleichs Forschung bleiben mehrere Fragen unbeantwortet.","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
20,389,"In diesem Projekt ist das Energy Consumption Research Institute zuständig für die technische Ausbildung der HEAs und die Planung der Pilotaktionen.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
21,490,"Verantwortlich für das technische Training der HEAs and der Pilotactionplanung ist im Projekt das Energy Consumption Research Institut.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
22,207,"Trotz des wachsenden Interesse in die Forschung an Sozialem Vergleich bleiben einige offene Fragen","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
23,411,"Das Energy Consumption Research Institute ist in diesem Projekt verantwortlich für die technische Ausbildung der HEAs und die Planung der Pilotaufgaben.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
24,303,"Energiearmut ist heute eines der sozialen, technischen und legislativen Hauptthemen in Europa und betrifft laut Schätzungen zwischen  50 und 125 Millionen Menschen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
25,115,"Indem Werte im Bereich Biosphäre aktiviert werden, stärkt der HER den Fokus des Konsumenten auf die Vorteile der Umwelt.","Durch die Aktivierung von biosphärischen Werten stärkt der HER den Fokus der Konsumentinnen und Konsumenten, zum Umweltschutz beizutragen.",""
26,121,"Die Forschung deutet beispielsweise daruf hin, dass Menschen, wenn man ihre Handlungen mit denen anderer, ähnlicher Menschen vergleicht, zu ermutigt werden, ihren Strom- und Wasserverbauch, ihre Beiträge an wohltätige Zwecke sowie ihre Sparentscheide zu","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
27,516,"Diese Berater wurden spezifisch darauf trainiert, die Pilotaktionen umzusetzen, indem sie verletzliche Konsumenten schulen. Dies um deren Energiekonsum zu optimieren und möglicherweise zu reduzieren, vor allem durch Verhaltensänderung.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
28,27,"Als Erstes testen wir, ob HER die individuelle Wahrnehmung einer Norm bezüglich Energie sparen beeinflusst.","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
29,376,"Im ersten Teil des A","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
30,200,"Zuerst testen wir, ob der HER die Vorstellungen der Individuen der Norm formt im Angesicht des Themas des Energieverbrauchs.","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
31,72,"Trotz eines wachsenden Interesse in social comparison research bleiben jedoch einige Fragen offen.","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
32,473,"Solche Berater sind spezifisch dazu ausgebildet, die Pilotaktionen umzusetzen, indem sie Energiegefährdete Konsumenten (VCs) darin bilden, ihren Energieverbrauch zu optimieren (und möglicherweise zu reduzieren), hauptsächlich duch Veränderungen ihres Verhaltens.","Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
33,404,"Darüber hinaus führen die Unterschiede in den jeweis in den EU-Staaten verfügbaren Daten zu bruchstückhaften und oft inkompatiblen Verbrauchersegmentationen in den Mitgliedsstaaten.","Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.",""
34,400,"Vor diesem Hintergrund zielt das Projekt (finanziert durch die EK unter dem Grant Agreement Nr. 12345) darauf ab","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
35,87,"Eine stärkere Wahrnehmung der Norm in Richtung Energiesparen könnte den Energieverbrauch beeinflussen.","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
36,460,"Einer der Punkte, die die EC betont, ist die Rolle des Lernens durch Erfahrung und durch die besten Praktiken, die in den teilnehmenden Staaten durchgeführt werden","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
37,56,"In dieser Arbeit gehen wir davon aus, dass umweltbezogene Werte eine wichtige Quelle von Heterogenität infolge des Opower-Gruppenvergleichs darstellt.","In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.",""
38,453,"Einer der meist betonten Punkte der EC ist die Wichtigkeit aus Erfahrungen und den besten Umsetzungsmethoden der verschiedenen Mitg","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
39,479,"Der erste Teil dieser Arbeit fasst die Resultate der statistischen Analyse zusammen, welches dazu dient einen ""energiearmen"" oder einen ""energieverletzlichen"" Konsumenten zu definieren, da eine gängige europäische Definition dieser n","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
40,399,"Einer der von der EK betonten Punkte ist die Wichtigkeit, von den  Erfahrungen und Best Practices in den verschiedenen Mitgliedsstaaten (MS) zu lernen.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
41,251,"Forschungsergebnisse zeigen, das Leute, denen man erklärt hat, wie ihr Verhalten sich Im Vergleich zu  ähnlichen anderen verhält, dazu neigen, ihren Energie und Wasserverbrauch  zu verringern. Dies gilt auch für ihre Spenden an","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
42,487,"Der erste Teil dieser Arbeit fasst die Resultate einer statistischen Analyse, die ausgefuert wurde um zu verstehen wie ein EnergieArmer oder Energie-verletzbarer Konsument definiert wird, zusammen, da keine geminsame Europaeische Defintion besteht.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
43,482,"In diesem Projekt ist die Energy Consumption Research Institure zuständig für das technische Training der HEAs und für die Planung der pilot actions.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
44,481,"Die Europäisch Koommision (EC) hat einen grossen Aufwand betrieben, um dieses Problem zu bewältigen, wie sie es zum Beispiel mit dem kürzlichen Start der EU Energie Armut Beobachtung im Janurat 2018 gezeigt haben- ","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
45,263,"Die Forschungsergebnisse  zeigen, dass man Menschen dadurch, dass man ihnen erzählt, wie ihre Handlungen im Vergleich zu anderen Menschen dastehen, dazu bringen kann, ihren Energieverbrauch, Wasserverbrauch, ihre Beiträge zu gemeinnützigen Zwecken und ihr Sparverhalten zu verändern.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
46,434,"Energiearmut ist eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme der heutigen Zeit in Europa mit geschätzten 50 bis 125 Millionen Betroffenen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
47,81,"Durch das Aktivieren von biosphärischen Werten kann der HER den Fokus von Menschen darauf ausrichten, die Umwelt zu verbessern.","Durch die Aktivierung von biosphärischen Werten stärkt der HER den Fokus der Konsumentinnen und Konsumenten, zum Umweltschutz beizutragen.",""
48,183,"Das HER enthält verschiedene Elemente, einschliesslich eine statische Nachbarn-Vergleich von Energieverbrauch - Levels (eine deskriptive Norm), Rückmeldung zu individueller Leistung (eine injunktive Norm) sowie Energiespartipps.","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
49,285,"Einer der vom EK aufgeführten Punkte ist die Wichtigkeit, von Erfahrungen und den besten Praktiken von Mitgliedsstaaten (MS) zu lernen.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
50,169,"Indem biosphärische Werte aktiviert werden, stärkt der HER den Fokus der Konsumenten auf den Schutz der Umwelt.","Durch die Aktivierung von biosphärischen Werten stärkt der HER den Fokus der Konsumentinnen und Konsumenten, zum Umweltschutz beizutragen.",""
51,112,"Eine stärkere Wahrnehmung der Norm, Energie zu sparen, kann dann den Energieverbrauch beeinflussen.","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
52,386,"Die vorliegende Arbeit sammelt die ersten Ergebnisse der zuvor erwähnten Aufgaben.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
53,426,"In diesem Sinne  zielt das (von der EU-Kommission unter dem Grant Agreement n. ) gegründete Projekt, dessen Partner das Energy Consumptiom Research Institut  ist, darauf ab,","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
54,107,"Während das sparsame Verhalten von Personen mit hohem Bewusstsein für die Umwelt in der Forschungsliteratur ausführlich nachgewiesen ist, weiss man nur wenig über die Reaktion dieser Konsumenten azf den Vergleich mit ihren Peers.","Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.",""
55,470,"Die europäische Kommission (EC) hat viel Aufwand betrieben um dieses Problem zu lösen. Zum Beispiel, wie gezeigt, durch den kürzlichen Launch von der EU Energy Poverty Observatory im Januar 2018.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
56,180,"Trotz einem wachesendem Interesse an sozialen Vergleichsarbeiten, bleiben viele Fragen offen. ","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
57,167,"Während umweltbezogene Werte tendenziell stabil bleiben während einem Menschenleben, kann jedoch die umweltbezogenene Identität beeinflusst werden, zum Beispiel durch Information über Energiekonservierung.","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
58,297,"Der erste Teil der Studie fasst die Resultate einer statistischen Analyse zusammen, die durchgeführt wurde, um zu verstehen, wie eine ""energiearme"" oder ""energiegefährdete"" Konsumerschaft definiert werden kann, da eine allgemeine Europäische Definition nicht existiert.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
59,373,"Diese Berater werden gezielt dazu ausgebildet, die Pilottätigkeiten durchzuführen, indem energieanfällige Verbaucher (VC) dazu gebracht werden, ihren Stromverbauch zu optimieren (und nach Möglichkeit zu reduzieren). Dies geschieht in erster Linie durch Verhaltensänderungen.","Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
60,108,"In diesem Artkel untersuchen wir, ob sich der soziale Vergleich auf den Stromverbrauch auswirkt und ob dieser Effekt davon abhängt, wie hoch die jeweiligen Personen ökologische Faktoren einordnen.","In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.",""
61,153,"In diesem Paper testen wir den Effekt solialen Vergleichens auf energiesparendes Verhalten und ob dieses davon abhängt, inwieweit einzelne Personen ein hohes Umweltbewusstsein haben.","In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.",""
62,505,"Die Europäische Kommission (EK) unternimmt grosse Anstrengungen, um dieses Problem zu lösen, was beispielsweise demonstriert wird durch die kürzliche Gründung des EU Energy Poverty Observatory im Januar 2018.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
63,150,"Zuerst testen wir, ob HER die individuelle Wahrnehmung von Normen im Bereich von Energieverbrauch formt.","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
64,29,"Weiter kann die umweltbezogene Selbstwahrnehmung im Gegensatz zu den umweltbezogenen Werten, die eher stabil sind, beeinflusst weden, beispielsweise durch Informationen im Zusammenhang mit ","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
65,483,"Dieser Bericht präsentiert die ersten Resultate dieser zwei Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
66,174,"Während Werteeinstellungen einer Person meist ein Leben lang gleich bleiben, kann das umweltbezogene Verhalten beeinflusst werden, beispielsweise durch Informationen über das Energiesparen.","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
67,181,"Insbesondere ist nur wenig bekannt über die Quellen der Heterogenität, welche die Effekte klassischer sozialer Vergleichsexperimente beobachtet, so zum Beispiel das Opower'""s Home Electricity Report (HER) Programm. ","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
68,84,"Die Umfragedaten beinhalten Messungen zu um","Die Umfragedaten beinhalten Angaben zu ökologischen Werten, ökologischer Selbstidentität, sozialen Normen und anderen Haushaltsmerkmalen.",""
69,455,"Die europäische Kommisionb hat viel Arbeit in die Lösungsfindung dieses Problems investiert, wie beispielsweise am vor kurzer Zeit gegründeten EU Energy Poverty Observatory im Januar  ersichtlich ist.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
70,130,"Ein zw","Ein zweiter Mechanismus könnte also sein, dass die im HER enthaltenen Informationen die ökologische Selbstidentität der Konsumentinnen und Konsumenten stärken.",""
71,428,"Die Europäische Kommission (EC) hat viel darin investiert, dieses Problem zu lösen. Dies zeigt zum Beispiel die kürzliche Lancierung der Beobachtungsinstitutions EU Energy Poverty Observatory im Januar 2018.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
72,3,"Die Auswirkung von gesellschaftlicher Information über das Verhalten wurde in verschiedenen Settings demonstriert.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
73,346,"Die European Commission (EC) hat viel dafür getan, um dieses Problem zu lösen, wie beispielsweise die kürzliche Einführung der EU Energy Poverty Observatory im Januar 2018 gezeigt hat.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
74,269,"Zuerst testen wir ob HER die individuelle Wahrnehmung von Norm in der Energeckp","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
75,362,"Die European Commission (EC) hat schon viel Arbeit darin investiert, dieses Problem zu lösen. Das zeigt sich am Beispiel des kürzlich gegründeten EU Energy Poverty Observatory im Januar 2018.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
76,61,"Die Forschung hat gezeigt, dass Menschen Ihren Energie- und Wassergebrauch, Ihre Spenden für wohltätige Zwecke und ihre Sparentscheide anpassen, wenn man ihnen sagt, wie ihre Handlungen im Vergleich mit denen anderer, ähnlicher Menschen ausfallen.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
77,253,"Die Forschung zeigt, dass die Menschen ihren Energie- und Wasserverbrauch, ihre Spenden an wohltätige Institutionen und ihr Sparverhalten anpassen, wenn man ihnen sagt, wie ihr Verhalten sich vergleichen lässt mit Menschen in ähnlichen Umständen.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
78,444,"Einer der Punkte, die vom EC betont wurden ist die Wichtigkeit, von den Erfahrungen und besten Praktiken zu lernen, die in den verschiedenen Mitgliedstaaten (MS) ausgeführt werden.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
79,12,"Zweitens, während Werte betreffend Umwelt dazu tendieren, bei allen während dem ganzen Leben stabil zu bleiben, kann die Umwelt-Selbstidentität beeinflusst werden, zum Beispiel, durch Informationen zum Energiesparen.","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
80,144,"Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
81,381,"Energiearmut ist eines der grössten sozialen, technischen und rechtlichen Probleme zurzeit in Europa, die geschätzte Zahl der Betroffenen liegt zwischen  50 und 125 Millionen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
82,326,"Die grösste Hürde bei dieser Analyse ist, dass die Daten, die oft als Standardindikatoren genutzt werden (z.B. geringes Einkommen hohe Kosten), in vielen Ländern nicht verfügbar sind, weswegen neue Wege für eine Definition energiegefährdeter Konsumenten ","Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.",""
83,486,"Diese Arbeit sammelt die ersten Resultate von den oben genannten Aufgaben.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
84,13,"Ein zweiter Mechanismus könnte deswegen die Informationen, die im HER geliefert werden sein, die die Umwelt-Selbstidentität erhöht.","Ein zweiter Mechanismus könnte also sein, dass die im HER enthaltenen Informationen die ökologische Selbstidentität der Konsumentinnen und Konsumenten stärken.",""
85,192,"Eine weit","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
86,116,"Diese Analyse kombinier","Diese Analyse kombiniert Daten aus einer grossen randomisierten Studie von Opower in Italien mit Umfragedaten von Kundinnen und Kunden eines Energieversorgers.",""
87,510,"M","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
88,65,"Der Einfluss von sozialen Informationen auf das Verhalten wurde  in verschiedenen Settings gezeigt.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
89,94,"Forschungsstudien wiesen nach, dass Menschen, wenn ihre Handlungsweisen mit denen ähnlicher Personen verglichen werden, zu einer Aenderung ihres Energie- und Wasserverbrauchs, ","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
90,97,"Trotz des steigenden Interesses an sozialer, komparativer Forschung bleiben jedoch viele Fragen unbeantwortet.","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
