control_number;id;group;text;condition;sentence_nr;translation;reference_translation
11;CA3;TraStu;Text2;ELF;2;Energiearmut ist eines der wichtigsten sozialen, technischen und rechtlichen Probleme im heutigen Europa mit einer Zahl von betroffenen Menschen die von 50 bis zu 125 Millionen steigt.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
12;CA3;TraStu;Text2;ELF;3;Die Europeam Commission (EC) hat viel Aufwand für die Bewältigung diese Problems betrieben, wie zum Beispiel die Gründung des EU Energy Poverty Observatory im Januar 2018.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
13;CA3;TraStu;Text2;ELF;4;Ein wichtiger Punkt, den die EC oft erwähnt, ist die Wichtigkeit von Erfahrungen und Best-Practice-Beispielen von anderen Member States (Ms;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
14;CA4;TraStu;Text2;ELF;2;Energiearmut, mit etwa  50 bis 125 Millionen Betroffenen, ist eines der grössten sozialen, technischen und legilativen Probleme der jetzige Zeit in Europa.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
15;CA4;TraStu;Text2;ELF;3;Die Europäische Kommission (EK) investierte viel Aufwand in diese Problem, wie zum Beispiel bei der Einführung der EU Energiearmutsobservation im Januar 2018.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
16;CA4;TraStu;Text2;ELF;4;Einer der vom EK aufgeführten Punkte ist die Wichtigkeit, von Erfahrungen und den besten Praktiken von Mitgliedsstaaten (MS) zu lernen.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
17;CA4;TraStu;Text2;ELF;5;Damit zielt das Projekt (;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
18;CA5;TraStu;Text2;SE;2;Energiearmut is eine der Hauptprobleme betreffend Sozialem, Technischem und Legislativem in der heutigen Zeit in Europa. Die geschätzte Anzahl Personen, die betroffen sind, beträgt zwischen 50 und 125 Millionen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
19;CA5;TraStu;Text2;SE;3;Die European Commission (EC) hat grossen Aufwand betrieben, um dieses Problem zu lösen, wie zum Bespiel der kürzliche Launch des EU Energy Poverty Observatory im Januar 2018 gezeigt hat.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
20;CA5;TraStu;Text2;SE;4;Eine der Punkte, die die EC betont, ist die Wichtigkeit des Lernens aus Erfahrung und von den besten Praktiken, die in anderen Mitgliedsstaaten (MS) verwendet werden.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
21;CA5;TraStu;Text2;SE;5;Dies im Auge behaltend, zielt d;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.
22;CA6;TraStu;Text2;ELF;2;Die Energiearmut ist eine der grössten sozialen, technischen und legislativen Herausforderung, mit welcher sich Europa heute konfrontiert sind. Man schätzt, dass 50 bis 125 millionen Menschen davon betroffen sind.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
23;CA6;TraStu;Text2;ELF;3;Die European Commission (EC) hat durch die Lancierung des EU Energy Poverty Observatory in Januar 2018 gezeigt, wie viel Effort momentan in die Lösung dieses Problems investiert wird.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
24;CA6;TraStu;Text2;ELF;4;Die EC betont allerdings wie wichtig es ist, von den Best Practices und den Erfahrungen der eigenen Mitgliedstaaten zu lernen. ;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
25;CA6;TraStu;Text2;ELF;5;Unter diesen Rahmenbedingungen v;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
26;CA7;TraStu;Text2;ELF;7;In dem Projekt ist das Energy Consumption Research Institute für das technische Training der HEA's und die Pilot Aktionsplanung verantwortlich.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
27;CA7;TraStu;Text2;ELF;8;Diese Studie sammelt die ersten Resultate der oben erwähnten Aufgaben.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
28;CA7;TraStu;Text2;ELF;9;"Der erste Teil der Studie fasst die Resultate einer statistischen Analyse zusammen, die durchgeführt wurde, um zu verstehen, wie eine ""energiearme"" oder ""energiegefährdete"" Konsumerschaft definiert werden kann, da eine allgemeine Europäische Definition nicht existiert.";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
29;CA7;TraStu;Text2;ELF;10;Das Hauptziel bei der Durchführung dieser Analyse ist, dass die Daten, welche oftmals für Standardindikatoren (z. B. Tiefes-Einkommen Hohe-Kosten) genutz werden,;Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
30;CA8;TraStu;Text2;ELF;6;Solche Ratgeber sind speziell trainiert um solche Pilotaktionen durchzuführen indem sie anfällige Konsumenten (VCs) helfen, die Energiekonsumption zu optimieren (und möglicherweise zu reduzieren), dies meist durch Einen Wechsel im Verhalten.;Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.
31;CA8;TraStu;Text2;ELF;7;Während dem Projekt ist das Energy Consumption Research Institute verantwortlich für das Training der HEAs und der Planung von Pilotaktionen.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
32;CA8;TraStu;Text2;ELF;8;Diese Arbeit sammelt zunächst die ersten Resultate der oben erwähnten Aufgaben.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
33;CA8;TraStu;Text2;ELF;9;Der erste Teil der Arbeit fasst die Reu;Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
34;CE0;TraStu;Text2;SE;2;Energiearmut ist heute eines der sozialen, technischen und legislativen Hauptthemen in Europa und betrifft laut Schätzungen zwischen  50 und 125 Millionen Menschen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
35;CE0;TraStu;Text2;SE;3;The Europäische Kommission setzt viel daran, das Thema anzugehen, wie beispielsweise der kürzlich lancierte EU Energy Poverty Observatory im Januar 2018 zeigt.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
36;CE0;TraStu;Text2;SE;4;Unter anderem hebt die EC die Relevanz von Lernen aus Erfahrung und von positiven Beispielen hervor, das in zahlreichen Mitgliedsstaaten (MS) umgesetzt wird.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
37;CE0;TraStu;Text2;SE;5;Vor diesem Hintergrund versucht das hier erwähnte Projekt (von Der EU-Kommission;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.
38;CE1;TraStu;Text2;SE;7;Diese Berater wurden extra für die Einsetzung der Pilotmassnahmen ausgebildet. Diese Massnahmen umfassen Beratung energieknapper Konsumenten bezüglich der Optimierung und allfälliger Reduktion ihres Energieverbrauchs. Dies geschieht hauptsächlich durch Verhaltensänderungen.;Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.
39;CE1;TraStu;Text2;SE;8;In diesem Projekt ist das Energy Consumption Research Institute für die technische Einweisung der HEAs und für die Planung der Pilotmassnahmen zuständig.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
40;CE1;TraStu;Text2;SE;9;In diesem Paper werden die ersten Ergebnisse dieser beiden Aufgaben präsentiert.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
41;CE1;TraStu;Text2;SE;10;Im ersten Teil werden die Ergebnisse einer;Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
42;CE2;TraStu;Text2;SE;2;Energiearmut ist mit geschätzten 50 bis 125 Millionen Betroffenen aktuell eines der sozialen, technischen und legislativen Hauptprobleme in Europa.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
43;CE2;TraStu;Text2;SE;3;Die Europäische Kommission (EC) hat einen grossen Aufwand für Lösungen für das Problem investiert, beispielsweise mit der Lancierung des EU Energy Poverty Observatory im Januar 2018.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
44;CE2;TraStu;Text2;SE;4;Eines der zentralen Punkte für die EC war die Wichtigkeit;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
45;CE3;TraStu;Text2;ELF;2;Mit einer geschätzten Anzahl betroffener Personen von 50 bis 125 Millionen ist Energieknappheit eines der Hauptprobleme im sozialen, technischen und legislativen Bereich der heutigen Zeit in Europa.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
46;CE3;TraStu;Text2;ELF;3;Die Europäische Kommission (EC) hat viel Effort in die Lösung dieses Problems gesteckt. Sie hat beispielsweise kürzlich die EU Energy Poverty Obervatory im Januar 2018 lanciert.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
47;CE3;TraStu;Text2;ELF;4;Einer der von EC genannten Punkte ist die Wichtigkeit, von den Erfahrungen und Best Pracices in verschiedenen Mitgliedstaaten (MS) zu lernen.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
48;CE4;TraStu;Text2;SE;2;Energiearmut ist eines der Hauptprobleme im sozialen, technischen und legislativen Bereich in Europa zu dieser Zeit. Die Anzahl Menschen, die betroffen sind, wird von 50 bis 125 Millionen geschätzt.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
49;CE4;TraStu;Text2;SE;3;Die europäische Komission (EK) beschäftigt sich intensiv damit, dieses Problem zu lösen. Die neuliche Lancierung des E;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
50;CE5;TraStu;Text2;SE;8;In diesem Projekt ist das Energy Comsumption Research Institute für das technische Training der HEAs und die Planung der Pilotprojekte zuständig.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
51;CE5;TraStu;Text2;SE;9;Dieser Artikel präsentiert die ersten Resultate dieser zwei Aufgaben.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
52;CE5;TraStu;Text2;SE;10;"Der erste Teil dieses Artikels fasst die Resultate der statistischen Analyse zusammen, die durchgeführt wurde, um ""energy-poor"" oder ""energy-vulnerable"" Kosumenten zu definieren, da keine einheitliche europäische Definition existiert.";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
53;CE5;TraStu;Text2;SE;11;Die grösste Schwierigkeit, die sich bei der Durchführung dieser Analyse ergibt, ist, das;Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
54;CE6;TraStu;Text2;SE;8;In diesem Projekt ist das Energy Consumption Research Institute verantwortlich für die technische Ausbildung der HEAs und für die Planung der Pilotaktionen.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
55;CE6;TraStu;Text2;SE;9;Dieses Paper präsentiert die ersten Ergebnisse dieser beiden Aufgaben.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
56;CE6;TraStu;Text2;SE;10;"Der erste Teil des Papers fasst die Ergebnisse einer statistischen Analyse zusammen, die ""energiearme"" oder ""energiegefährdete"" Konsumenten definieren sollte, da eine gemeinsame europäische Definition nicht existiert.";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
57;CE6;TraStu;Text2;SE;11;Die grösste Hürde bei dieser Analyse ist, dass die Daten, die oft als Standardindikatoren genutzt werden (z.B. geringes Einkommen hohe Kosten), in vielen Ländern nicht verfügbar sind, weswegen neue Wege für eine Definition energiegefährdeter Konsumenten ;Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
58;CE7;TraStu;Text2;SE;9;Dieses Schreiben präsentiert die Ergebnisse der beiden Aufgaben.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
59;CE7;TraStu;Text2;SE;10;"Der erste Teil der Arbeit fasst die Ergebnisse der  statistischen Analyse, die durchgeführt wurde, um ""energiearm"" und ""energygefährdet"" zu definieren, zusammen, da keine allgemeine, für ganz Europa geltende Definition existiert.";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
60;CE7;TraStu;Text2;SE;11;Das grösste Hindernis bei der Durchführung dieser Analyse ist es, dass die Daten, die häufig für Standardindikatoren (bsp. niedriges einkommen, hohe Kosten), in vielen Ländern nicht verfügbar sind, sodass neue Methoden, um Energygefährdete Konsumenten zu definieren, gefunden werden müssen.;Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
61;CE7;TraStu;Text2;SE;12;Des weiteren führen die Unterschiede zwischen den in den EU-Ländern verfügbaren Daten zu fragmentierten und oft inkompatiblen Segmentierungen der Konsumenten in den Mitgliedsstaaten.;Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.
62;CE7;TraStu;Text2;SE;13;Um dieses Hindernis zu überwinden, ist es nötig, den Hintergrund zu ergründen, vor dem die Pliotmassnahmen angewendet werden sollen (d.h. die analyse der Situationen in den Mitgliedstaaten) und eine zielgerichtete Marktsegmentation durchzuführen, indem existierende Datenbanken analysiert und verbessert werden, auf die ;Um dieses Problem zu lösen, musste der Kontext definiert werden, in dem die Pilotmassnahmen implementiert werden sollen (die Situation in den analysierten EU-Mitgliedsstaaten). Auch musste eine zielgerichtete Marktsegmentierung durchgeführt werden, mittels einer Analyse und Ergänzung von verfügbaren Datenbeständen, welche ähnliche und kompatible Indikatoren aufweisen.
63;CE8;TraStu;Text2;ELF;2;Energiearmut stellt eine der grössten gesellschaftlichen, technischen und rechtlichen Herausforderungen im gegenwärtigen Europa dar. Gemäss Schätzungen sind rund 50 bis  125 Millionen Menschen in Europa von Energiearmut betroffen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
64;CE8;TraStu;Text2;ELF;3;Die European Commission (EC) hat grosse Anstrengungen unternommen um dieses Problem zu lösen. Dies wird durch die Bildung der EU Energy Poverty Observatory im Januar  2018 sichtbar.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
65;CE8;TraStu;Text2;ELF;4;Einer der wichtigen Punkte ist es, von der Erfahrungen von anderen Teilnehmerstaaten zu lernen, die dieses Programm eingeführt und getestet haben. ;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
66;CE9;TraStu;Text2;SE;2;Energiearmut ist eines der grösstem sozialen, technischen und legislativn Probleme zurzeit in Europa. Die geschätzte Zahl der von Energiearmut Betroffenen beträgt  50bis 125 Millionen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
67;CE9;TraStu;Text2;SE;3;Die European Commission (EC) hat grosse Anstrengungen unternommen, dieses Problem zu lösen. Dies zeigt sich beispielsweise bei der kürzlich lancierten Initiative Eu Energy Poverty Observatory, die im Januar 2018 gestartet ist.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
68;CE9;TraStu;Text2;SE;4;Einer der Hauptpunkte, die von der EC hervorgehoben werden, ist, dass man aus Erfahrung und von den besten Anwendungsbeispielen lernen muss, die in den unterschiedlichen Member States (MS) zum Einsatz kommen.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
69;CE9;TraStu;Text2;SE;5;Vor diesem Hintergru;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.
70;CF0;TraStu;Text2;SE;2;Energiearmut ist zurzeit in Europa eine der grössten sozialen, technischen und gesetzlichen Herausforderungen. Davon sind schätzungsweise etwa  50 bis 125 Millionen Menschen betroffen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
71;CF0;TraStu;Text2;SE;3;Die Europäische Kommision (EC) ist sehr bemüht, diese Herausforderungen anzugehen, wie beispielsweise kürzlich die Einführung des EU Energy Poverty Observatory im Januar 2018 zeigt.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
72;CF0;TraStu;Text2;SE;4;Einer der wichtigsten Punkte, die die EC anführt, ist die Wichtigkeit aus der Erfahrung und den besten Praktiken in den verschiedenen Mitgliedsstaaten (MS) zu lernen.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
73;CF0;TraStu;Text2;SE;5;Vor diesem Hintergrund ;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.
74;CF1;TraStu;Text2;SE;6;Dies wird durch die Implementierung einer Reihe von Pilotprojekten mit einer Gruppe von sogenannten HEAs (Home Energy Advisors) bewerkstelligt.;Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
75;CF1;TraStu;Text2;SE;7;"Diese ""Advisors"" wurden  speziell ausgebildet, um diese  Pilotaktionen einzuführen. Unter diesen Aktionen gehen z.B. das Bilden von Energiekonsumenten, um deren Konsum zu optimieer";Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.
76;CF2;TraStu;Text2;ELF;2;Energiearmut stellt eines der grössten sozialen, technischen und gesetzlichen Herausforderungen in der aktuellen Zeit in Europa dar. Die Anzahl betroffene Personen wird auf 50 bis 125 Millionen geschätzt.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
