T1_SE_copy_stimulus;T1_ELF_copy_stimulus;T2_SE_copy_stimulus;T2_ELF_copy_stimulus
This analysis aims to answer the question of which characteristics make customers more likely to respond to the information in the HER.;This analysis aims to answer the question on which customers' characteristics make them more likely to respond to the HER communication.;The second issue is that, in many cases, it is nearly impossible to reduce energy consumption in energy-vulnerable households.;Therefore, the HEAs should only aim to optimize VCs energy consumption in order to reduce or maintain their current level of expenses, while consuming the same amount of energy (or more, thus increasing their comfort).
A third objective of the study is to answer the question about the mechanisms behind the effects of the program.;A third objective of the study is the question on the mechanisms behind the effect of the program.;Although unaware of the environmental benefits, they already behave in an energy-saving mode and consume as little energy as possible in order to keep their expenses low.;"This can be done by using energy in a ""smarter"" way, for example, by exploiting the different electricity price at different time of the day or by switching to a more convenient energy provider, with the help of the external experts, such as the HEAs."
To shed light on the roles of two possible mechanisms, we conduct manipulation checks.;To shed light on the role of two possible mechanisms, we conduct manipulation checks.;The HEAs should therefore only aim to optimize energy consumption in terms of reducing or maintaining vulnerable consumers' current level of expenses with the same amount of energy (or slightly more, thus increasing their comfort).;
We first test whether the information received via the HER affects environmental self-identity.;We first test if the communication received through the eHER affects environmental self-identity.;"This can be achieved by using energy in a ""smarter"" way, for example by exploiting different electricity prices at different times of the day or by switching to a more inexpensive energy provider with the help of external experts such as the HEAs.";
We also test whether the HER influences consumers' perception of social norms related to energy conservation.;We also test if HER influences a perception of the social norm related to energy conservation.;;
A very robust finding of the analysis is that pre-treatment energy usage and environmental values are the major sources of heterogeneity. ;A very robust finding of the analysis is that pre-treatment usage along with environmental values are the major sources of heterogeneity.;;
Families with higher pre-treatment consumption respond to the intervention by curbing energy consumption.;Families with higher pre-consumption respond to the intervention by curbing energy consumption.;;
If they have high pre-treatment consumption, people who strongly endorse environmental values are more likely to respond to the social information by cutting energy consumption.;Conditional on high pre-consumption, people who strongly endorse environmental values, are more likely to respond to the social information by cutting energy consumption.;;
Furthermore, the HER increases environmental self-identity among people with high pre-treatment consumption.;Second, the HER increases environmental self-identity among people with high pre-consumption.;;
Another important result is that the HER increases consumers' perception in favour of the social norm of energy conservation.;Another important result is that the HER increases the perception of the social norm in favour of energy conservation.;;
Interestingly, this effect holds for both high-consumption and low-consumption households.;Interestingly, this effect holds for both high-consumption and low-consumption households.;;
Taking all these results together, we can infer that the HER encourages high pre-treatment consumption households to reduce their home energy consumption because the HER increases their environmental self-identity.;Taking all these results together, one can infer that high pre-consumption households are induced to reduce home energy consumption by the HER because the HER increases their environmental self-identity.;;
The HER also influences the social norm of energy conservation among low pre-treatment consumption households but this effect does not translate into lower energy consumption among this type of families.;On the contrary, the HER influences the social norm among low pre-consumption households but this effect does not translate in lower energy consumption among this type of families.;;
We can therefore argue that the social norm mechanism is less effective in promoting energy-conserving behaviour.;One can therefore argue that the social norm mechanism is less effective in conducting a final outcome in terms of energy conservation.;;
