control_number;id;group;text;condition;sentence;translation
85;CM0;MulBa;Text2;ELF;10;"Die grösste Hürde im Durchführen dieser Analyse ist, dass die Daten, welche für Standardindikatoren (wie tiefes Einkommen und hohe Kosten) gebraucht werden, nicht erhältlich sind für einige Länder, weswegen neue Wege für das Verstehen, was ein ""energieverletzlicher Konsument"" ist, erkundet werden müssen. "
86;CM0;MulBa;Text2;ELF;11;Desweiteren ist es so, dass die Erhältlichkeit der verschiedenen Daten von Eu Ländern oft fragmentiert und nicht vergleichbar aufgeteilt ist in den verschiedenen Mi
87;CM1;MulBa;Text2;ELF;2;Energiearmut is eines der hauptsächlichen sozialen, technischen und legislativen Problemen der Gegenwart in Europe, mit einer Schätzung von betroffenen Personen von 50 bis 125 Millionen.
88;CM1;MulBa;Text2;ELF;3;Die Europäische Kommission (EK) hat viel Aufwand betrieben, um dieses Problem zu lösen, wie zum Beispiel mit dem kürzlichen Startschuss der Eu Energy Poverty Observatory im Januar 2018 gezeigt wurde.
89;CM1;MulBa;Text2;ELF;4;Einer der Punkte, die vom EC betont wurden ist die Wichtigkeit, von den Erfahrungen und besten Praktiken zu lernen, die in den verschiedenen Mitgliedstaaten (MS) ausgeführt werden.
90;CM1;MulBa;Text2;ELF;5;Dies im Hinterkopf, versucht das Projekt (von der EU Komission unter Grant Agreement .12345 gefördert), von welchem Energy Conmsuption Research ein Partner ist, die besten Prakiken und Empfehl
91;CQ0;MulMa;Text2;ELF;6;Solche Berater sind speziell trainiert, um die Pilot Massnahmen zu implementieren, indem sie Energie gefährdete Konsumenten (VCs) darin instruieren, ihren Energieverbrauch zu optimieren ( und möglicherweise zu reduzieren), indem sie ihre Verhaltensweisen anpassen.
92;CQ0;MulMa;Text2;ELF;7;In diesem Projekt ist das Energy Consumption Research Institu verantwortlich für das technische Training der HEAs und die Plannung der Pilot Massnahmen.
93;CQ0;MulMa;Text2;ELF;8;Dieser Artikel sammelt die ersten Resultate der oben erwähnten Aufgaben.
94;CQ0;MulMa;Text2;ELF;9;Der erste Teil des Artikels fasst die Resultate der statistischen Analysen, welche durchg
95;CU0;MulPro;Text2;SE;2;Energiearmut ist eines der wichtigsten sozialen, technischen und gesetgeberischen Probleme im Moment in Europa mit einer geschätzen Zahl von 50 bis 125 Millionen Betroffener.
96;CU0;MulPro;Text2;SE;3;Die Europäische Kommission (EK) hat grosse Anstrengungen unternommen, um dieses Problem zu lösen, was sich beispielsweise in der kürzlich von Statten gegangenen Einführung der EU Energiearmutsbeobachtung im Januar 2018 zeigt.
97;CU0;MulPro;Text2;SE;4;Einer der von der EK hervorgehobenen Punkte ist die Wichtigkeit des Lernens aus Erfahrung und von den besten Praktiken, die in verschiedenen Mitgliedsstaaten (MS) angewandt werden.
98;CU0;MulPro;Text2;SE;5;M
99;CU1;MulPro;Text2;SE;5;Mit diesem Hintergrund versucht das hier vorgestellte Projekt, das von der EU Kommission unter dem Grant Agreement 12345 finanziert wurde und welches das Consumption Resaerch Institute als Partner hat,die besten Praktiken und Empfehlungen zu finden um Energiarmut anzugehen.
100;CU1;MulPro;Text2;SE;6;Es macht dies
101;CU2;MulPro;Text2;SE;2;Energiearmut ist eines der wichtigsten sozialen, technischen und gesetzgeberischen Probleme in Europe in der Gegenwart, wobei die geschätzte Anzahl der Betroffenen von 50 bis 125 Millionen reicht.
102;CU2;MulPro;Text2;SE;3;Die Europäische Kommission (EK) unternimmt grosse Anstrengungen, um dieses Problem zu lösen, was beispielsweise demonstriert wird durch die kürzliche Gründung des EU Energy Poverty Observatory im Januar 2018.
103;CU2;MulPro;Text2;SE;4;Einer der Aspekte, welche von der EK betont werden, ist die Wichtigkeit, von der Erfahrung und von den in den Mitgliedsta
104;CU3;MulPro;Text2;ELF;2;Energiearmut ist eines der Hauptprobleme  Europas sowohl sozial, technologisch wie auch gesetzlich mit einer Anzahl von geschätzt 50 bis 125 Millionen betroffenen Menschen.
105;CU3;MulPro;Text2;ELF;3;Die Europäische Kommission (EC) hat sich grosse Mühen gemacht, dieses Problem zu lösen wie gezeigt wurde. Beispielsweise mit dem kürzlichen Start des EU Energy Poverty Observatory im Januar 2018.
106;CU3;MulPro;Text2;ELF;4;Einer der speziell dargelegten Punkte vom EC ist die Wichtigkeit von den Erfahrungen und Anwenungen, die in verschiedenen Mitgliedstaaten (MS) angewendet werden, zu lernen.
107;CU3;MulPro;Text2;ELF;5;M
108;CU4;MulPro;Text2;SE;2;Energiearmut ist eines der Hauptprobleme im sozialen, technischen Bereich sowie in der Gesetzgebung Europas heute, wobei die Anzahl Betreoffener auf  50 bis 125 Millionen Personen geschätzt wird.
109;CU4;MulPro;Text2;SE;3;Die EC hat viel Aufwand betrieben, um dieses Problem zu lösen, was sich beispielsweise durch die Gründung der EU Energy Poverty Observatory im Januar 2018m gezeigt hat.
110;CU4;MulPro;Text2;SE;4;Einer der Punkte, der vom EC unterstrichen wird, ist, dass durch Erfahrung und von den besten Ansätzen diverser Mitgliedstaaten gelernt werden müsse.
111;CU4;MulPro;Text2;SE;5;In Anbetracht dessen, zielt das hier vorgestellte Projekt, dasvon der EU Kommission 
112;CU5;MulPro;Text2;SE;6;Es tut dies mit dem Einsatz einer Serie von Pilotaktionen mit einer Gruppe von Beratern namens HEAs (Home Energy Advisors).
113;CU5;MulPro;Text2;SE;7;Diese Berater wurden spezifisch darauf trainiert, die Pilotaktionen umzusetzen, indem sie verletzliche Konsumenten schulen. Dies um deren Energiekonsum zu optimieren und möglicherweise zu reduzieren, vor allem durch Verhaltensänderung.
114;CU5;MulPro;Text2;SE;8;In diesem Projekt ist das Energy Consumption Forschungsinstitut verantwortlich für das technische Training der HEAs und für die Planung der Pilotaktionen.
115;CU5;MulPro;Text2;SE;9;Dieser Artikel präsentiert die ersten Resultate dieser zwei Aufgaben.
116;CU5;MulPro;Text2;SE;10;Der erste Teil des Artikels fa
