control_number;id;group;text;condition;sentence_nr;translation;reference_translation
12;CA5;TraStu;Text1;ELF;14;Zweitens, während Werte betreffend Umwelt dazu tendieren, bei allen während dem ganzen Leben stabil zu bleiben, kann die Umwelt-Selbstidentität beeinflusst werden, zum Beispiel, durch Informationen zum Energiesparen.;Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.
13;CA5;TraStu;Text1;ELF;15;Ein zweiter Mechanismus könnte deswegen die Informationen, die im HER geliefert werden sein, die die Umwelt-Selbstidentität erhöht.;Ein zweiter Mechanismus könnte also sein, dass die im HER enthaltenen Informationen die ökologische Selbstidentität der Konsumentinnen und Konsumenten stärken.
14;CA5;TraStu;Text1;ELF;16;Der HER stärkt der Fokus der Leute auf die Verbesserung der Umwelt, indem er biosphärische Werte aktiviert.;Durch die Aktivierung von biosphärischen Werten stärkt der HER den Fokus der Konsumentinnen und Konsumenten, zum Umweltschutz beizutragen.
15;CA5;TraStu;Text1;ELF;17;Die Analyse kombiniert Daten von einer grossen randomisierten Studie, die von Opower in Italien durchgeführt wurde, mit Daten einer Umfrage von ;Diese Analyse kombiniert Daten aus einer grossen randomisierten Studie von Opower in Italien mit Umfragedaten von Kundinnen und Kunden eines Energieversorgers.
16;CA6;TraStu;Text1;SE;8;In dieser Publikation wird erforscht, ob soziale Vergleiche das Energiesparen begünstigen, und ob dies von der Grundeinstellung zum Umweltschutz beeinflusst wird. ;In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.
17;CA6;TraStu;Text1;SE;9;Eine weitere Frage, welche sich gestellt hat, ist was die Beweggründe des individuellen handelns als Reaktion auf die von Opower's HER hat. ;Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. 
18;CA6;TraStu;Text1;SE;10;Die HER enthält verschiedene Elemente. Dazu gehören Vergleiche zum Energieverbrauch der Nachbaren (eine deskriptive norm), feedback zur individuellen norm (eine injunktive Norm) sowie energiespartipps. ;Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.
19;CA6;TraStu;Text1;SE;11;Ein weiteres Ziel dieses Artikels ist es potentielle Lösungsansätze zu bewerten;Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.
20;CA7;TraStu;Text1;SE;2;Der Einfluss sozialer Information auf das Verhalten wurde in einer Reihe von settings demonstriert.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
21;CA7;TraStu;Text1;SE;3;Zum Beispiel zeigt die Forschung, dass es Menschen ermutigt, ihr Energie- und Wasserverbrauch, ihr Beitrag an Wohltätigkeit, und ihre Sparentscheidungen zu verändern, wenn ihnen gesagt wird, wie ihre Taten mit denen von anderen, ähnliche;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
22;CA8;TraStu;Text1;SE;7;Während das konservationsverhalten der Menschen mit hohe biosphährischen Ansprüchen gut dokumentiert ist in der Literatur, ist über diese Rückmeldung der Konsumenten zum Peervergleich wenig bekannt.;Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.
23;CA8;TraStu;Text1;SE;8;In dieser Arbeit testen wir, ob es einen sozialen Vergleichseffekt bei Energiekonservation gibt und ob dieser Effekt abhängig davon ist, ob individuelle Personen hohe Umweltansprüche haben.;In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.
24;CA8;TraStu;Text1;SE;9;Eine weitere wichtige Lücke in der Forschung ist das Verstehen der Mechanik hinter den individuellen Reaktionen zu Opowers HER bezüglich der Enrgienutzung.;Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. 
25;CA8;TraStu;Text1;SE;10;Das HER ;Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.
26;CE0;TraStu;Text1;ELF;11;Ein zweites Ziel der Arbeit ist das Testen möglicher Mechanismen, die zur Wirkung von HER beitragen.;Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.
27;CE0;TraStu;Text1;ELF;12;Als Erstes testen wir, ob HER die individuelle Wahrnehmung einer Norm bezüglich Energie sparen beeinflusst.;Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.
28;CE0;TraStu;Text1;ELF;13;Eine bewusstere Wahrnehmung einer Norm im Zusammenhang mit Energie sparen könnte den Energieverbrauch beeinflussen.;Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.
29;CE0;TraStu;Text1;ELF;14;Weiter kann die umweltbezogene Selbstwahrnehmung im Gegensatz zu den umweltbezogenen Werten, die eher stabil sind, beeinflusst weden, beispielsweise durch Informationen im Zusammenhang mit ;Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.
30;CE1;TraStu;Text1;ELF;2;Der Einfluss sozialer Informationen auf das Verhalten wurde bereits in verschiedenen Settings gezeigt.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
31;CE1;TraStu;Text1;ELF;3;Forschungsergebnisse zeigen, dass Menschen ihren Energie- und Wasserverbrauch ändern, andere Beträge an Wohltätigkeitsorganisationen spenden und andere Entscheidungen im Bereich Sparen treffen, wenn man ihnen sagt, wie sie im Vergleich mit ihren Mitmenschen abschneiden.;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
32;CE1;TraStu;Text1;ELF;4;Trotz wachsendem Interesse an Forschung im Bereich sozialer Vergleich gibt es noch einige Fragen zu klären.;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
33;CE1;TraStu;Text1;ELF;5;Insbesondere über die Ursachen der Heterogenität im Kontext  e;Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.
34;CE2;TraStu;Text1;ELF;10;Das HER liefert verschiedene Elemente, von einem statischen Nachbarsvergleich des Energieverbrauchs (beschreibende Norm) über Feedbacks zur individuellen Performance (injunktive Norm) bis hin zu Energiespartipps.;Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.
35;CE2;TraStu;Text1;ELF;11;Ein zweites Ziel dieses Dokuments ist es mögliche Mechanismen zu testen, die das HER effektiv machen.;Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.
36;CE2;TraStu;Text1;ELF;12;Zunächst testen wir, ob das HER die individuellen Aspekte im Rahmen des Energiesparens aufzeigt.;Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.
37;CE2;TraStu;Text1;ELF;13;Ein genauerer Blick auf die Norm zum Energiesparen könnte den Energieverbrauch beeinflussen.;Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.
38;CE2;TraStu;Text1;ELF;14;Während umwelt;Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.
39;CE3;TraStu;Text1;SE;9;Eine weitere wichtige Untersuchungslücke ist das Verständnis der Mechanismen hinter den Reaktionen der Individuen zu Opower's HER mit Einbezug ihres Energieverbrauchs.;Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. 
40;CE3;TraStu;Text1;SE;10;HER umfasst verschiedene Elemente, wie eine statische Nachbarsvergleichung der Energieverbaucherniveaus (eine deskriptive Norm), Rückmeldung auf individuelle Performance (eine injuktive Norm) sowie Energiespartipps.;Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.
41;CE3;TraStu;Text1;SE;11;Ein weiteres Ziel dieses Papers ist es, mögliche Mechanismen einzustufen, um HER effektiver zu machen.;Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.
42;CE3;TraStu;Text1;SE;12;Wir testen zunächst, ob HER die individuelle Wahrnehmung von Normen im Bereich des Energiesparens beeinflusst-;Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.
43;CE4;TraStu;Text1;ELF;9;Des Weiteren wurde in der Forschung die Mechanismen hinter der individuellen Reaktion auf den Opower Home Energy Report (HER) im Bereich des Energieverbrauchs noch nicht genügend untersucht.;Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. 
44;CE4;TraStu;Text1;ELF;10;Der HER besteht aus verschiedenen Bestandteilen: einen statischen Vergleich bezüglich des Energieverbrauchs mit den Nachbarn (deskriptive Norm), ;Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.
45;CE5;TraStu;Text1;ELF;9;Eine weitere Forschungslücke stellt das Verständnis der Mechanismen hinter der Reaktion von Personen auf den Opower Home Energy Report (HER) im Bereich Energienutzung dar.;Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. 
46;CE5;TraStu;Text1;ELF;10;Der HER beinhaltet verschiedene Elemente, von einem statischen Vergleich zwischen Nachbarn in Hinblick auf deren Energienutzung (deskriptive Norm), über Feedbacks, wie gut die einzelnen Personen abschneiden (injunktive Norm), bis hin zu Tipps zum Energiesparen.;Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.
47;CE5;TraStu;Text1;ELF;11;Ein weiteres Ziel dieses Artikels ist es, die mö;Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.
48;CE6;TraStu;Text1;ELF;10;Der HER Report liefert verschiedene Elemente, von einem statischen Vergleich zwischen dem Energieverbrauch von Nachbarhaushalten (descriptive norm) über Rückmeldungen zur individuellen Performance (injunctive norm) bis hin zu Energiespartipps.;Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.
49;CE6;TraStu;Text1;ELF;11;Ein zweites Ziel dieser Studie ist es, mögliche Mechanismen zu testen, die den HER Report effektiv machen.;Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.
50;CE6;TraStu;Text1;ELF;12;Zuerst testen wir, ob der HER Report die Eindrücke eines Individuums von der Norm im Bereich Energiesparen.;Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.
51;CE6;TraStu;Text1;ELF;13;Ein stärkerer Eindruck der Norm in Richtung;Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.
52;CE7;TraStu;Text1;ELF;2;Der Einfluss sozialer Informationen auf menschliches Verhalten wurde inverschiedenen Situationen bewiesen.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
53;CE7;TraStu;Text1;ELF;3;Untersuchungen zeigen, dass es zu Veränderungen bezügl. Energie- und Wasserverbauch, sowie Beiträgen zu wohltätigen Zwecken und Energiesparenden MaSsnahmen führt, Menschen aufzuzeigen, wie ihrhandeln imvergleich it anderen Menschen aussieht.;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
54;CE7;TraStu;Text1;ELF;4;Trotz des wachsenden Interesses an Untersuchungen zu sozialem Vergleich verbleiben zahlreiche offene Fragen.;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
55;CE7;TraStu;Text1;ELF;5;Es ist besonders wenig bekannt über die Ursprünge von Heterogenität imzuge eines bekannten Experiments zu sozialem Vergleich, wie etwa das von Dem  Opower-Programm durch den Home Exlectricity Report bereitgestellte.;Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.
56;CE7;TraStu;Text1;ELF;6;In dieser Arbeit gehen wir davon aus, dass umweltbezogene Werte eine wichtige Quelle von Heterogenität infolge des Opower-Gruppenvergleichs darstellt.;In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.
57;CE7;TraStu;Text1;ELF;7;Während das Sparvehalten von Leuten mit hohen biospherischen Werten bereits zu genüge in der Literartur behandelt wurde, ist relativ wenig über die Reaktion dieser Individuen zu Gruppenvergleichen bekan;Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.
58;CE8;TraStu;Text1;SE;2;Der Einfluss der Erklärung von sozialen Verhaltensweisen wurde unter den verschiedensten Umständen nachgewiesen.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
59;CE8;TraStu;Text1;SE;3;Die Forschung zeigt zum Beispiel, dass der Vergleich des Handelns und Tuns de;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
60;CE9;TraStu;Text1;ELF;2;Der Einfluss soziales Informationen auf das Verhalten einer Person wurde bereits in den unterschiedlichsten Feldern nachgewiesen.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
61;CE9;TraStu;Text1;ELF;3;Die Forschung hat gezeigt, dass Menschen Ihren Energie- und Wassergebrauch, Ihre Spenden für wohltätige Zwecke und ihre Sparentscheide anpassen, wenn man ihnen sagt, wie ihre Handlungen im Vergleich mit denen anderer, ähnlicher Menschen ausfallen.;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
62;CE9;TraStu;Text1;ELF;4;Trotz des wachsenden Interesses an Forschung zu sozialen Vergleichen sind noch einige Fragen offen.;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
63;CE9;TraStu;Text1;ELF;5;Insbesondere ist noch relativ wenig dazu bekannt, woher Heterogenitätseffekte bei einem bekannten Experiment zum sozialen Vergleich wie dem durch das Opower-Programm mit dem Home Electricity Report durchgeführten stammen.;Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.
64;CE9;TraStu;Text1;ELF;6;In unserer Arbeit stellen wir die Vermutung auf, dass U;In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.
65;CF0;TraStu;Text1;ELF;2;Der Einfluss von sozialen Informationen auf das Verhalten wurde  in verschiedenen Settings gezeigt.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
66;CF0;TraStu;Text1;ELF;3;Die Forschung zeigt, dass, wenn Mens;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
67;CF1;TraStu;Text1;ELF;8;In der vorliegenden Studie wird der Effekt von sozialem Vergleich in Bezug auf Energiesparen getestet und inwiefern dies auf dem Aspekt beruht, ob Tespersonen hohe Verbrauchswerte gutheissen.;In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.
68;CF1;TraStu;Text1;ELF;9;Eine weitere wichtige Forschungslücke  sind das Verstehen der Mechanismen hinter der Reaktion eines Individuums auf den OPower Home Energy Report (HER) in Bezug auf den Energieverbrauch.;Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. 
69;CF1;TraStu;Text1;ELF;10;Der HER beinhaltet vier wichtige Elem;Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.
70;CF2;TraStu;Text1;SE;2;Der Einfluss von sozialen Informationen auf das Verhalten wurde in verschiedenen Settings gezeigt.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
71;CF2;TraStu;Text1;SE;3;Forschung hat zum Beispiel gezeigt, dass durch das Informieren der Leute über ihre Tätigkeiten im Vergleich zu anderen, ähnlichen Leuten, ermutigt sie, ihren Energie- und Wasserverbrauch, ihren Beitrag zu charitable Gründen und ihre Spar-Entscheidungen zu ändern.;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
72;CF2;TraStu;Text1;SE;4;Trotz eines wachsenden Interesse in social comparison research bleiben jedoch einige Fragen offen.;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
73;CF2;TraStu;Text1;SE;5;Insbesondere ist wenig bekannt über die Quellen der Heterogenität, die in den be;Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.
74;CF4;TraStu;Text1;ELF;2;Der Einfluss von gesellschaftlichen Informationen auf das Verhalten wurde in verschiedenen Bereichen belegt.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
75;CF4;TraStu;Text1;ELF;3;Die Forschung belegt, dass Menschen ihren Energie- und Wasserverbrauch, ihre Spenden für wohltätige Zwecke und ihre Sparmassnahmen anpassen, wenn ihnen die Verhaltensweisen von Menschen in ähnlichen Situationen vorgelegt werden.;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
76;CF4;TraStu;Text1;ELF;4;Auch wenn das Interesse an der Forschung zu Sozialem Vergleich ansteigt, bleiben noch einige Fragen offen.;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
77;CF4;TraStu;Text1;ELF;5;So ist zum Beispiel relativ wenig über die Heterogenitätsquell;Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.
78;CF5;TraStu;Text1;ELF;13;Eine stärkere Wahrnehmung der Norm in Richtung Energieeinsparung kann dann den Energieverbrauch beeinflussen.;Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.
79;CF5;TraStu;Text1;ELF;14;Zweitens bleiben umweltbezogene Einstellungen während des Lebens mehrheitlich stabil, während umweltbezogene Selbstidentität beeinflusst werden kann, beispielsweise durch Informationen über den Energieverbrauch.;Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.
80;CF5;TraStu;Text1;ELF;15;Ein zweiter Mechanismus könnte deshalb sein, dass die Informationen, welche während dem HER zugeführt werden, die eigene umweltbezogene Selbstidentität verstärkt.;Ein zweiter Mechanismus könnte also sein, dass die im HER enthaltenen Informationen die ökologische Selbstidentität der Konsumentinnen und Konsumenten stärken.
81;CF5;TraStu;Text1;ELF;16;Durch das Aktivieren von biosphärischen Werten kann der HER den Fokus von Menschen darauf ausrichten, die Umwelt zu verbessern.;Durch die Aktivierung von biosphärischen Werten stärkt der HER den Fokus der Konsumentinnen und Konsumenten, zum Umweltschutz beizutragen.
82;CF5;TraStu;Text1;ELF;17;Die Analyse kombiniert Daten aus einem randomisierten Programm, welches von Opower in Italien durchgeführt wurde, mit Umfragedaten, welche von Endvebrauchern gesammelt wurden.;Diese Analyse kombiniert Daten aus einer grossen randomisierten Studie von Opower in Italien mit Umfragedaten von Kundinnen und Kunden eines Energieversorgers.
83;CF5;TraStu;Text1;ELF;18;Die verfügbaren Daten aus der Nutzung zeigt auf, ob eine Person die sozialen Informationen durch den Home Energy Report erhält, die Frequenz und die Art der sozialen Information, der Umgang der Kunden damit und der Energieverbrauch.;Die Daten des Energieversorgers spezifizieren, ob eine Person einen HER mit sozialen Informationen erhält, die Häufigkeit und Art der sozialen Informationen, den Umgang der Kundinnen und Kunden damit und ihren Energieverbrauch.
